Presidência;;;
NOME;PARTIDO;Página no Facebook;ID
Geraldo Alckmin ;PSDB;https://www.facebook.com/geraldoalckmin/;fb.com/96033897836
João Doria;PSDB;https://www.facebook.com/jdoriajr/;fb.com/144112092312277
Aécio Neves;PSDB;https://www.facebook.com/AecioNevesOficial/;fb.com/411754008869486
Lula;PT;https://www.facebook.com/Lula/;fb.com/267949976607343
Jair Bolsonaro;PSC;https://www.facebook.com/jairmessias.bolsonaro/;fb.com/211857482296579
Marina Silva;REDE;https://www.facebook.com/marinasilva.oficial/;fb.com/126351747376464
Ciro Gomes;PDT;https://www.facebook.com/cirogomesoficial/;fb.com/1216504185136925
Michel Temer;PMDB;https://www.facebook.com/MichelTemer/;fb.com/435464776514810
Álvaro Dias;PV;https://www.facebook.com/ad.alvarodias/;fb.com/199599520097304
;;;
